Year,Title,Authors,Abstract,Keywords/Content Category,PDF link
2010,Solving Large Regression Problems using an Ensemble of GPU-accelerated ELMs,"Mark van Heeswijk, Yoan Miché, Erkki Oja, Amaury Lendasse","This paper presents an approach that allows for performing regression on large data sets in reasonable time. The main component of the approach consists in speeding up the slowest operation of the used algorithm by running it on the Graphics Processing Unit (GPU) of the video card, instead of the processor (CPU). The experiments show a speedup of an order of magnitude by using the GPU, and competitive performance on the regression task. Furthermore, the presented approach lends itself for further parallelization, that has still to be investigated.",Machine learning techniques based on random projections,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-133.pdf
2010,Mode estimation in high-dimensional spaces with flat-top kernels: application to image denoising,"Arnaud de Decker, John Aldo Lee, Damien Francois, Michel Verleysen","Data denoising can be achieved by approximating the data distribution and replacing each data item with an estimate of its closest mode. This idea has already been successfully applied to image denoising. The data then consists of pixel intensities or image patches, that is, vectorized groups of pixel intensities. The latter case raises the issue of mode estimation in a high-dimensional space, since patches can contain about 10 to more than 100 pixels. This paper shows that the widely used Gaussian kernel is outperformed by flat-top kernels that are specifically tailored in order to fight the curse of dimensionality.",Image and video analysis,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-91.pdf
2010,Figure-ground Segmentation using Metrics Adaptation in Level Set Methods,"Alexander Denecke, Irene Ayllon Clemente, Heiko Wersing, Julian Eggert, Jochen Steil","We present an approach for hypothesis-based image segmentation founding on the integration of level set methods and discriminative feature clustering techniques. Building up on previous work, we investigate Localized Generalized Matrix Learning Vector Quantization (LGMLVQ) to train a classifier for fore- and background of an image. Here we extend this concept towards level set segmentation algorithms,  where region descriptors are used to adapt the object contour according to the image features. Finally we demonstrate that the fusion of both methods is capable to outperform their individual applications and improve the performance compared to other state of the art segmentation methods.",Image and video analysis,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-83.pdf
2010,An ART-type network approach for video object detection,"Rafael Luque, Enrique Domínguez, Esteban Palomo, José Muñoz","This paper presents an ART2 (adaptive resonant theory) network to detect objects in a video sequence classifying the pixels as foreground or background. The proposed ART network not only possess the structure and learning ability of an ART-based network, but also uses a neural merging process to adapt the variability of the input data (pixels) in the scene along the time. Experimental results demonstrate the effectiveness and feasibility of the proposed ART network for object detection. Standard datasets are used to compare the efficiency of the proposed approach against other traditional methods based on gaussian models.",Image and video analysis,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-85.pdf
2010,Computational Intelligence in biomedicine: Some contributions,"Paulo J.G. Lisboa, Alfredo Vellido, José D. Martín",To be written,Computational Intelligence in Biomedicine,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-2.pdf
2010,Segmentation of EMG time series using a variational Bayesian approach for the robust estimation of cortical silent periods,"Iván Olier, Amengual Julià, Alfredo Vellido",A variational Bayesian formulation for a manifold-constrained Hidden Markov Model is used in this paper to segment a set of multivariate time series of electromyographic recordings corresponding to stroke patients and control subjects. An index of variability associated to this model is defined and applied to the robust detection of the silent period interval of the signal. The accuracy in the estimation of the duration of this interval is paramount to assess the rehabilitation of stroke patients.,Computational Intelligence in Biomedicine,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-45.pdf
2010,Spectral Prototype Extraction for dimensionality reduction in brain tumour diagnosis,"Sandra Ortega-Martorell, Iván Olier, Alfredo Vellido, Margarida Julià-Sapé, Carles Arús","Diagnosis in neuro-oncology can be assisted by non-invasive data acquisition techniques such as Magnetic Resonance Spectroscopy (MRS). From the viewpoint of computer-based brain tumour classification, the high dimensionality of MRS poses a difficulty, and the use of dimensionality reduction (DR) techniques is advisable. Despite some important limitations, Principal Component Analysis (PCA) is commonly used for DR in MRS data analysis. Here, we define a novel DR technique, namely Spectral Prototype Extraction, based on a manifold-constrained Hidden Markov Model (HMM). Its formulation within a variational Bayesian framework imbues it with regularization properties that minimize the negative effect of the presence of noise in the data. Its use for MRS pre-processing is illustrated in a difficult brain tumour classification problem.",Computational Intelligence in Biomedicine,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-15.pdf
2010,On the use of a clinical kernel in survival analysis,"Vanya Van Belle, Kristiaan Pelckmans, Johan Suykens, Sabine Van Huffel","Clinical datasets typically contain continuous, ordinal, cate- gorical and binary variables. To model this type of datasets, linear kernel methods are generally used. However, the linear kernel has some disad- vantages, which were tackled by the introduction of a clinical one. This work shows that the use of a clinical kernel can improve the performance of support vector machine survival models. In addition, the polynomial kernel is adapted in the same way to obtain a clinical polynomial kernel. A comparison is made with other non-linear additive kernels on six different survival data. Our results indicate that the use of a clinical kernel is a simple way to obtain non-linear models for survival analysis, without the need to tune an extra parameter.",Computational Intelligence in Biomedicine,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-16.pdf
2010,The Application of Gaussian Processes in the Prediction of Percutaneous Absorption for Mammalian and Synthetic Membranes,"Yi Sun, Gary Moss, Maria Prapopoulou, Rod Adams, Marc Brown, Neil Davey","Improving predictions of the skin permeability coefficient is a difficult problem, and an important issue with the increasing use of skin patches as a means of drug delivery. In this work, we apply Gaussian processes (GPs) with five different covariance functions to predict the permeability coefficients of Human, Pig, Rodent and Silastic membranes. We obtain a considerable improvement over the quantitative structure-activity relationship (QSARs) predictors. The GPs with Matern and neural network covariance functions give the best performance in this work. We find that five compound features applied to Human, Pig and Rodent membranes cannot represent the main characteristics of the Silastic dataset.",Computational Intelligence in Biomedicine,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-35.pdf
2010,Neural models for the analysis of kidney disease patients,"Emilio Soria, José D. Martín, Mónica Climente, Amparo Soldevila, Antonio J. Serrano","This work uses Machine Learning techniques and other classical approaches to analyze both physiological variables and treatment characteristics in patients undergoing chronic renal failure. Firstly, the use of Self-Organizing Maps is proposed in order to extract qualitative knowledge. Secondly, the Hemoglobin concentration is predicted one-month ahead by models based on the Multilayer Perceptron; the prediction uses information from two months (the current month and the previous one). Achieved results support the usefulness of these tools in daily clinical practice.",Computational Intelligence in Biomedicine,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-81.pdf
