Author,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,community
Mohamed Oubbati,0.000859106529209622,4.101530264535577e-08,0.0258683314755168,1.8095235876856016e-14,0.04024593888759102,0
Saad Gondal,0.000286368843069874,0.0,0.05206706237634073,8.218920150053202e-05,0.0,1
Jerome Lacaille,0.001718213058419244,2.0274805141339697e-05,0.04035712789594078,2.54383820519652e-06,0.02423980393291886,20
Victor Hamer,0.000286368843069874,0.0,0.05043025762109555,4.986038142741017e-06,0.0,13
David Pape,0.001145475372279496,0.0,0.030797822425966362,2.1393488040892165e-11,0.037037037037037035,0
Andrea Proia,0.000859106529209622,1.8229023397935898e-08,0.0552025330754417,0.0001635794203428946,0.04024593888759102,1
Federico Pouzols,0.000286368843069874,0.0,0.05109205250878023,1.601195960861446e-05,0.0,4
Hans-Martin Rieser,0.003436426116838488,0.0009915039261488303,0.030918738298790716,2.238366490670276e-11,0.007878610661941354,0
Oliver Sefrin,0.000572737686139748,0.0,0.028159796839865706,4.5369711717884477e-13,0.037037037037037035,0
Alberto Lavelli,0.001145475372279496,0.0,0.04737575883436526,0.0035933344563343628,0.05283658209487183,5
Filippo Costanti,0.001145475372279496,1.6406121058142307e-08,0.045218099975798974,5.0657014789552646e-05,0.03864148796231403,6
Daniel García,0.000859106529209622,0.00013907770341381448,0.04895539702098722,3.20282313201856e-05,0.04938271604938271,7
Giulia Palma,0.000859106529209622,0.0,0.03966418270541982,1.0193810239944938e-06,0.037037037037037035,6
Torben Graeber,0.001145475372279496,0.0,0.04887943294040732,6.810001512449945e-07,0.037037037037037035,9
José Rodríguez,0.00143184421534937,0.00020256639714069487,0.04898307889659988,5.3746651260811776e-05,0.0560108994290903,7
Benjamin Donnot,0.001145475372279496,0.0,0.04047970795730695,2.587872825463828e-06,0.037037037037037035,17
Frédéric Precioso,0.000572737686139748,0.0,0.024467328069096704,3.0829450369791775e-11,0.037037037037037035,11
François-Xavier Standaert,0.00143184421534937,0.0,0.052020162155013885,0.0002186782555841014,0.040887719257701814,12
Carles Arús,0.002290950744558992,3.2812242116284616e-07,0.04669266946699199,0.0010865511220079656,0.041850389812868025,10
Davide Bacciu,0.016609392898052692,0.025050243554572985,0.07674558142071927,0.150351294153862,0.006624401154495315,14
Mustapha Lebbah,0.005154639175257732,0.0014675465085814481,0.04595574272076227,7.865224228621502e-07,0.010229196052404278,20
Patrick Fabiani,0.000572737686139748,0.0,0.045247623415323526,6.199708014592912e-07,0.037037037037037035,20
Verónica Bolón-Canedo,0.0071592210767468505,0.016696715729378017,0.05336613277599685,0.004261482110032446,0.01074074528086251,17
Renzo Canepa,0.00286368843069874,6.515145637415565e-06,0.04995765572585749,0.057076303705716355,0.028649222790304366,5
Matteo Cardellini,0.001718213058419244,2.609764024080563e-05,0.059252103302761205,0.02385911018603611,0.04370906325975872,5
Marc Van Droogenbroeck,0.001145475372279496,9.006960460920127e-05,0.05288557694055975,3.479749120788197e-06,0.029504710800522343,13
Mario Gai,0.000859106529209622,1.367176754845192e-07,0.04802582122169751,1.0628929826387312e-05,0.048914711976508075,5
Patrick Fontaine,0.00143184421534937,0.0,0.045864500346068496,7.560387221170259e-08,0.037037037037037035,13
Kerstin Bunte,0.007445589919816724,0.0025007200562983944,0.06389568506630049,0.0006855139676607344,0.01090462089533607,9
Mohamed El Mahrsi,0.000286368843069874,0.0,0.051973346349864634,2.7376328229804762e-05,0.0,20
Kai Labusch,0.000286368843069874,0.0,0.051456237023247337,2.6855045640772807e-06,0.0,21
Reynier Peletier,0.000572737686139748,0.0,0.045479236135260205,2.852671695652922e-05,0.07407407407407407,9
C Shackleton,0.002290950744558992,1.1892304691826079e-07,0.04497745328589662,2.306265103016205e-06,0.03738084794959639,22
Loïc Giraldi,0.001145475372279496,3.2812242116284614e-08,0.04150273087969188,3.2583866916323637e-08,0.04208099131377863,20
Barbara Hammer,0.021764032073310426,0.03363771162458608,0.07603824887306287,0.006605049474723545,0.0036556169384174696,23
N Caticha,0.000859106529209622,2.1690714941203933e-05,0.052184683752190895,1.4257829059808006e-05,0.04712494559052024,22
Adrien Bibal,0.001145475372279496,9.023366581978269e-07,0.04614546545672494,6.856268896441059e-05,0.035195183539796025,13
Hélio Silva,0.000859106529209622,0.0,0.02948989788208915,2.695686229626401e-12,0.037037037037037035,24
Roberto Esposito,0.00143184421534937,0.00026971663019585956,0.05664644435418465,0.00016526791228534154,0.02977660814659071,5
David Plans,0.000859106529209622,0.0,0.06174381684150883,0.003109500057896943,0.037037037037037035,14
Andreas Mazur,0.00143184421534937,3.169809159240957e-05,0.0530150397972074,0.0003169982632414666,0.039359575005732186,23
Alexander Schlager,0.001145475372279496,8.284207485028438e-06,0.053580686580260946,2.0573180026802176e-05,0.040245938887591017,4
Quentin Louveaux,0.000572737686139748,0.0,0.04584629533137702,7.10562483901749e-08,0.037037037037037035,13
Mantas Lukoševičius,0.000572737686139748,0.0,0.054133151088040544,0.0025491488527882443,0.037037037037037035,14
Giorgia Giacomini,0.002290950744558992,6.653593540246602e-08,0.052628538899536385,0.001185238240067781,0.03865345597882543,6
Joni Dambre,0.003150057273768614,0.001325503436457474,0.054268801897344954,2.4354429506934566e-05,0.0070318178924629006,13
Hong Liu,0.00143184421534937,0.0,0.05173280085317222,4.053741844096864e-06,0.037037037037037035,13
Anne Lambert,0.00143184421534937,0.0,0.045864500346068496,7.560387221170259e-08,0.037037037037037035,13
Mattia Tambaro,0.00143184421534937,0.0,0.05854135835690953,0.0034781769105727725,0.037037037037037035,14
Pietro Bongini,0.002290950744558992,6.653593540246602e-08,0.052628538899536385,0.001185238240067781,0.03865345597882543,6
Francisco García-Fernández,0.000859106529209622,7.496121496095908e-05,0.05863050763359519,0.0004649863290581221,0.06189544643167461,12
Carlos Pérez,0.001718213058419244,0.0,0.048333979650515765,0.00039809452137000244,0.03703703703703704,5
Mark Van Heeswijk,0.000859106529209622,1.0363290644035848e-07,0.0549835449245553,2.732047630812991e-05,0.04938271604938271,4
Manuel Domínguez,0.001145475372279496,0.0,0.04290037143921598,0.00010903842402362668,0.09933441540074082,7
Sébastien Piérard,0.001145475372279496,9.006960460920127e-05,0.05288557694055975,3.479749120788197e-06,0.029504710800522343,13
Alberto Rossi,0.00286368843069874,7.532232468027107e-06,0.052652530028042474,0.0018563941087350146,0.028690189845340146,6
Fabian Fischbach,0.000572737686139748,0.0,0.028159796839865706,4.5369711717884477e-13,0.037037037037037035,0
Frederieke Richert,0.001145475372279496,2.4576745229669854e-05,0.05194997003216605,5.079682574620898e-05,0.0404246830138655,9
Michael Aupetit,0.001145475372279496,0.0012835547363798025,0.0618209277635232,0.0004539547964932675,0.028217787596655775,12
Thomas Kopinski,0.000572737686139748,0.0,0.05209054421445392,8.385823128287842e-05,0.037037037037037035,1
Federico Errica,0.004868270332187858,0.00034246326822267925,0.06164495643382806,0.07160154088632359,0.031170322995476535,14
W Hermann,0.0020045819014891182,3.5655969766362613e-06,0.03960524632695708,6.0655890764701605e-05,0.04554482652123515,22
