source,target,weight
Claudio Gallicchio,Alessio Micheli,15
Claudio Gallicchio,Giulio Visco,1
Claudio Gallicchio,Davide Bacciu,9
Claudio Gallicchio,Mauro Dragone,1
Claudio Gallicchio,Roberto Guzman,1
Claudio Gallicchio,Luca Pedrelli,2
Claudio Gallicchio,Peter Tiňo,1
Claudio Gallicchio,Benjamin Paaßen,1
Claudio Gallicchio,Alessandro Sperduti,1
Claudio Gallicchio,Antonio Sisbarra,1
Claudio Gallicchio,Filippo Bianchi,1
Claudio Gallicchio,Mantas Lukoševičius,1
Claudio Gallicchio,Simone Scardapane,1
Claudio Gallicchio,Andrea Cossu,3
Claudio Gallicchio,Antonio Carta,1
Claudio Gallicchio,Vincenzo Lomonaco,2
Claudio Gallicchio,Federico Matteoni,1
Claudio Gallicchio,Andrea Ceni,7
Claudio Gallicchio,Luca Argentieri,1
Claudio Gallicchio,Valerio De Caro,4
Claudio Gallicchio,Antonio Mauro,1
Claudio Gallicchio,Luca Oneto,2
Claudio Gallicchio,Nicolò Navarin,1
Claudio Gallicchio,Luca Pasa,1
Claudio Gallicchio,Davide Anguita,1
Claudio Gallicchio,Francesco Spinnato,1
Claudio Gallicchio,Riccardo Guidotti,1
Claudio Gallicchio,Veronica Pistolesi,1
Claudio Gallicchio,Gianluca Milano,1
Claudio Gallicchio,Carlo Ricciardi,1
Alessio Micheli,Davide Bacciu,9
Alessio Micheli,Alessandro Sperduti,3
Alessio Micheli,Giulio Visco,1
Alessio Micheli,Filippo Benedetti,1
Alessio Micheli,Mauro Dragone,1
Alessio Micheli,Roberto Guzman,1
Alessio Micheli,Luca Pedrelli,2
Alessio Micheli,Peter Tiňo,1
Alessio Micheli,Marco Podda,4
Alessio Micheli,Benjamin Paaßen,1
Alessio Micheli,Antonio Sisbarra,1
Alessio Micheli,Federico Errica,5
Alessio Micheli,Paolo Milazzo,1
Alessio Micheli,Filippo Bianchi,1
Alessio Micheli,Luca Oneto,2
Alessio Micheli,Nicolò Navarin,3
Alessio Micheli,Battista Biggio,1
Alessio Micheli,Franco Scarselli,1
Alessio Micheli,Monica Bianchini,1
Alessio Micheli,Domenico Tortorella,7
Alessio Micheli,Giacomo Iadarola,1
Alessio Micheli,Fabio Martinelli,1
Alessio Micheli,Francesco Mercaldo,1
Alessio Micheli,Luca Argentieri,1
Alessio Micheli,Alessio Gravina,1
Alessio Micheli,Luca Pasa,2
Alessio Micheli,Daniele Zambon,1
Alessio Micheli,Matteo Pardi,1
Alessio Micheli,Davide Anguita,1
Alessio Micheli,Michele Fontanesi,1
Alessio Micheli,Antonio Brau,1
Alessio Micheli,Alessandro Dipalma,1
Makoto Otsuka,Junichiro Yoshimoto,1
Makoto Otsuka,Kenji Doya,1
Junichiro Yoshimoto,Kenji Doya,1
François Schnitzler,Philippe Leray,1
François Schnitzler,Louis Wehenkel,2
François Schnitzler,Arnaud Joly,1
François Schnitzler,Pierre Geurts,1
François Schnitzler,Suresh Kumaraswamy,1
François Schnitzler,Alexey Ozerov,1
François Schnitzler,Ngoc Duong,1
François Schnitzler,Anne Lambert,1
François Schnitzler,Patrick Fontaine,1
Philippe Leray,Louis Wehenkel,1
Philippe Leray,Anthony Coutant,1
Philippe Leray,Hoel Le Capitaine,1
Louis Wehenkel,Francis Maes,2
Louis Wehenkel,Julien Becker,1
Louis Wehenkel,Arnaud Joly,1
Louis Wehenkel,Pierre Geurts,1
Louis Wehenkel,Alejandro Alvarez,1
Louis Wehenkel,Laurine Duchesne,1
Louis Wehenkel,Quentin Louveaux,1
Andrea Burattin,Alessandro Sperduti,1
Alessandro Sperduti,Markus Hagenbuchner,1
Alessandro Sperduti,Giovanni Da San Martino,2
Alessandro Sperduti,Ah Tsoi,1
Alessandro Sperduti,Davide Bacciu,1
Alessandro Sperduti,Alberto Testolin,2
Alessandro Sperduti,Ivilin Stoianov,1
Alessandro Sperduti,Marco Zorzi,1
Alessandro Sperduti,Luca Pasa,7
Alessandro Sperduti,Nicolò Navarin,13
Alessandro Sperduti,Luca Oneto,4
Alessandro Sperduti,Michele Donini,1
Alessandro Sperduti,Fabio Aiolli,1
Alessandro Sperduti,Davide Anguita,1
Alessandro Sperduti,Plamen Angelov,1
Alessandro Sperduti,Dinh Van,1
Alessandro Sperduti,Fabrizio Costa,1
Alessandro Sperduti,Dinh Van Tran,1
Alessandro Sperduti,Dinh Tran,1
Alessandro Sperduti,Benjamin Paaßen,1
Alessandro Sperduti,Davide Rigoni,2
Alessandro Sperduti,Wolfgang Erb,1
Alessandro Sperduti,Battista Biggio,1
Alessandro Sperduti,Federico Errica,1
Alessandro Sperduti,Franco Scarselli,1
Alessandro Sperduti,Monica Bianchini,1
Alessandro Sperduti,Federico Caldart,1
Alessandro Sperduti,Leonardo Amato,1
Alessandro Sperduti,Marta Maschietto,1
Alessandro Sperduti,Alessandro Leparulo,1
Alessandro Sperduti,Mattia Tambaro,1
Alessandro Sperduti,Stefano Vassanelli,1
Alessandro Sperduti,Samuel Cognolato,1
Alessandro Sperduti,Marco Ballarini,1
Alessandro Sperduti,Luciano Serafini,1
Alessandro Sperduti,Stefano Moro,1
Dietlind Zühlke,Frank-Michael Schleif,2
Dietlind Zühlke,Tina Geweniger,1
Dietlind Zühlke,Sven Haase,1
Dietlind Zühlke,Thomas Villmann,1
Dietlind Zühlke,Udo Seiffert,1
Dietlind Zühlke,Ernest Mwebaze,1
Dietlind Zühlke,Gjalt Bearda,1
Dietlind Zühlke,Michael Biehl,1
Frank-Michael Schleif,Tina Geweniger,2
Frank-Michael Schleif,Sven Haase,2
Frank-Michael Schleif,Thomas Villmann,6
Frank-Michael Schleif,Barbara Hammer,3
Frank-Michael Schleif,Udo Seiffert,1
Frank-Michael Schleif,Petra Schneider,1
Frank-Michael Schleif,Michael Biehl,2
Frank-Michael Schleif,Kerstin Bunte,2
Frank-Michael Schleif,Ace Ach,1
Frank-Michael Schleif,Ach Ach,4
Frank-Michael Schleif,Achach Ach,1
Frank-Michael Schleif,Xibin Zhu,1
Frank-Michael Schleif,Peter Tino,3
Frank-Michael Schleif,Andrej Gisbrecht,1
Frank-Michael Schleif,Yingyu Liang,1
Frank-Michael Schleif,Christoph Raab,5
Frank-Michael Schleif,Moritz Heusinger,3
Frank-Michael Schleif,Maximilian Münch,5
Frank-Michael Schleif,Karsten Huffstadt,1
Frank-Michael Schleif,Peter Meier,1
Frank-Michael Schleif,Sascha Saralajew,1
Frank-Michael Schleif,Simon Heilig,2
Frank-Michael Schleif,Fabrice Rossi,1
Frank-Michael Schleif,Manuel Röder,3
Frank-Michael Schleif,Katrin Bohnsack,1
Frank-Michael Schleif,Alexander Engelsberger,1
Frank-Michael Schleif,Mirko Polato,1
Frank-Michael Schleif,Fabian Geiger,1
Frank-Michael Schleif,Peter Preinesberger,1
Tina Geweniger,Sven Haase,1
Tina Geweniger,Thomas Villmann,5
Tina Geweniger,Petra Schneider,1
Tina Geweniger,Michael Biehl,1
Tina Geweniger,Marika Kästner,2
Tina Geweniger,Mandy Lange,1
Sven Haase,Thomas Villmann,2
Sven Haase,Kerstin Bunte,1
Sven Haase,Ace Ach,1
Sven Haase,Ach Ach,4
Sven Haase,Achach Ach,1
Thomas Villmann,Barbara Hammer,2
Thomas Villmann,Kerstin Bunte,2
Thomas Villmann,Michael Biehl,2
Thomas Villmann,Axel Wismüller,1
Thomas Villmann,E Mwebaze,1
Thomas Villmann,P Schneider,1
Thomas Villmann,F.-M Schleif,1
Thomas Villmann,S Haase,1
Thomas Villmann,M Biehl,6
Thomas Villmann,T Geweniger,2
Thomas Villmann,M Kästner,6
Thomas Villmann,B Hammer,3
