Filename,Title,Authors,Affiliations,Abstract,Year
es2005-102.pdf,UWB radar target identification based on linear RBFNN,"Min Wang, Shuyuan Yang, Shunjun Wu","1 - Department of Electrical Engineering National Lab of Radar Signal Processing Xidian University Xi'an 710071 China
2 - Institute of Intelligence Information Processing Department of Electrical Engineering Xidian University Xi'an 710071 China","In this paper, a radical-basis-function neural network(RBFNN) with efficient linear learning algorithm is presented for the identification on target profiles of Ultra Wideband(UWB) radar. This linear RBFNN has both good localization approximation and linear computation complexity with the number of dimension and number of inputs. Its performance is comparable with support vector machine (SVM) for tasks of pattern recognition with a rapider speed. We applied it to the identification of target profile in UWB radar, which needs excessively fast processing. The experimental results are achieved including higher recognition rate and shorter consumed time, which is superior to its counterparts.",2005
es2005-103.pdf,Mutual Information and Gamma Test for Input Selection,"Nima Reyhani, Jin Hao, Yongnan Ji, Amaury Lendasse",1 - Helsinki University of Technology -Neural Networks Research Center P.O. Box 5400 FI-02015 Finland,"In this paper, input selection is performed using two different approaches. The first approach is based on the Gamma test. This test estimates the mean square error (MSE) that can be achieved without overfitting. The best set of inputs is the one that minimises the result of the Gamma test. The second method estimates the Mutual Information between a set of inputs and the output. The best set of inputs is the one that maximises the Mutual Information. Both methods are applied for the selection of the inputs for function approximation and time series prediction problems.",2005
es2005-104.pdf,Pruned Lazy Learning Models for Time Series Prediction,"Antti Sorjamaa, Amaury Lendasse, Michel Verleysen, Finland Verleysen","1 - Helsinki University of Technology -Neural Networks Research Center P.O. Box 5400 FI-02015 Finland
3 - Université catholique de Louvain -Machine Learning Group Place du Levant B-1348 LLN Belgium",This paper presents two improvements of Lazy Learning. Both methods include input selection and are applied to long-term prediction of time series. First method is based on an iterative pruning of the inputs and the second one is performing a brute force search in the possible set of inputs using a k-NN approximator. Two benchmarks are used to illustrate the efficiency of these two methods: the Santa Fe A time series and the CATS Benchmark time series.,2005
es2005-105.pdf,Clustering using a random walk based distance measure,"Luh Yen, Denis Vanvyve, Fabien Wouters, François Fouss, Michel Verleysen, Marco Saerens","1 - Université catholique de Louvain ISYS IAG Place des Doyens 1 B-1348 Louvain-la-Neuve Belgium
3 - DICE Université catholique de Louvain FSA Place de Levant 3 B-1348 Louvain-la-Neuve Belgium","This work proposes a simple way to improve a clustering algorithm. The idea is to exploit a new distance metric called the ""Euclidian Commute Time"" (ECT) distance, based on a random walk model on a graph derived from the data. Using this distance measure instead of the usual Euclidean distance in a k-means algorithm allows to retrieve wellseparated clusters of arbitrary shape, without working hypothesis about their data distribution. Experimental results show that the use of this new distance measure significantly improves the quality of the clustering on the tested data sets.",2005
es2005-106.pdf,A New Wrapper Method for Feature Subset Selection,"Noelia Sánchez-Maroño, Amparo Alonso-Betanzos, Enrique Castillo","1 - Department of Computer Science LIDIA Lab University of A Coruña
2 - Faculty of Informatics 15071 A Coruña SPAIN
5 - Civil Engineering School. Department of Applied Mathematics and Computer Science University of Cantabria 39005 Santander SPAIN","ANOVA decomposition is used as the basis for the development of a new wrapper feature subset selection method, in which functional networks are used as the induction algorithm. The performance of the proposed method was tested against several artificial and real data sets. The results obtained are comparable, and even better, in some cases, to those accomplished by other well-known methods, being the proposed algorithm faster. * This work has been partially funded by the Spanish Ministry of Science and Technology under project TIC-2003-00600 with FEDER funds, and by the Xunta de Galicia, under project PGIDIT04PXIC10502PN",2005
es2005-109.pdf,Generalized Relevance LVQ with Correlation Measures for Biological Data,"Marc Strickert, Nese Sreenivasulu, Winfriede Weschke, Udo Seiffert, Thomas Villmann","1 - Pattern Recognition Group
2 - -Gene Expression Group Institute of Plant Genetics and Crop Plant Research Gatersleben Germany
5 - Clinic for Psychotherapy -University Leipzig Germany",Generalized Relevance Learning Vector Quantization (GRLVQ) is combined with correlation-based similarity measures. These are derived from the Pearson correlation coefficient in order to replace the adaptive squared Euclidean distance which is typically used for GRLVQ. Patterns can thus be used without further preprocessing and compared in a manner invariant to data shifting and scaling transforms. High accuracies are demonstrated for a reference experiment of handwritten character recognition and good discrimination ability is shown for the detection of systematic differences between gene expression experiments.,2005
es2005-110.pdf,Analysis of contrast functions in a genetic algorithm for post-nonlinear blind source separation,"Fernando Rojas Ruiz, Carlos Puntonet, Ignacio Rojas Ruiz",1 - Departamento de Arquitectura y Tecnología de Computadores. E.T.S.I. Informática University of Granada 18071 Spain,"The task of recovering a set of unknown sources from another set of mixtures directly observable and little more information about the way they were mixed is called the blind source separation problem. If the assumption in order to obtain the original sources is their statistical independence, then ICA (Independent Component Analysis) maybe the technique to recover the signals. In this contribution, we propose and analyze three evaluation functions (contrast functions in Independent Component Analysis terminology) for the use in a genetic algorithm (PNL-GABSS, Post-NonLinear Genetic Algorithm for Blind Source Separation) which solves source separation in nonlinear mixtures, assuming the post-nonlinear mixture model. A thorough analysis of the performance of the chosen contrast functions is made by means of ANOVA (Analysis of Variance), showing the validity of the three approaches.",2005
es2005-111.pdf,Translation invariant classification of non-stationary signals,"Vincent Guigue, Alain Rakotomamonjy, Stéphane Canu","1 - Laboratoire Perception Information -CNRS -FRE 2645 Avenue de l'Université 76801 Systèmes, St Étienne du Rouvray","Non-stationary signal classification is a difficult and complex problem. On top of that, we add the following hypothesis: each signal includes a discriminant waveform, the time location of which is random and unknown. This is a problem that may arise in Brain Computer Interface (BCI). The aim of this article is to provide a new description to classify this kind of data. This representation must characterize the waveform without reference to the absolute time location of the pattern in the signal. We will show that it is possible to create a signal description using graphs on a time-scale representation. The definition of an inner product between graphs is then required to implement classification algorithm. Our experimental results showed that this approach is very promising.",2005
es2005-112.pdf,Sparse Bayesian Promoter Based Gene Classification,"Kee Lee, Gavin Cawley, Michael Bevan","1 - School of Computing Sciences University of East Anglia Norwich NR4 7TJ U.K
3 - John Iness Institute, Norwich Research Park NR4 7UH Norwich U.K","A method to distinguish between co-regulated genes that are up-or down-regulated under a given treatment, based on the composition of the upstream promoter region, would be a valuable tool in deciphering gene regulatory networks. Ideally, the classification should be based on a small number of regulatory motifs, whose presence in the promoter region of a gene induce a significant effect on its transcriptional regulation. In this paper, we investigate the use of Relevance Vector Machines for this task, and present initial results of an analysis of glucose response in the model plant Arabidopsis thaliana, that has revealed novel biological information.",2005
es2005-114.pdf,Stability of backpropagation-decorrelation efficient O(N) recurrent learning,Jochen Steil,1 - Neuroinformatics Group University of Bielefeld Germany,We provide a stability analysis based on nonlinear feedback theory for the recently introduced backpropagation-decorrelation (BPDC) recurrent learning algorithm. For one output neuron BPDC adapts only the output weights of a possibly large network and therefore can learn in O(N). We derive a simple sufficient stability inequality which can easily be evaluated and monitored online to assure that the recurrent network remains stable while adapting. As byproduct we show that BPDC is highly competitive on the recently introduced CATS benchmark data  [1] .,2005
es2005-115.pdf,A new learning algorithm for incremental self-organizing maps,"Yann Prudent, Abdel Ennaji",1 - PSI Laboratory Rouen FRANCE,An incremental and Growing network model is introduced which is able to learn the topological relations in a given set of input vectors by means of a simple Hebb-like learning rule. First an overview of the most known models of Self-Organizing Maps (SOM) is given. Then we propose a new algorithm for a SOM which can learn new input data (plasticity) without degrading the previously trained network and forgetting the old input data (stability). We report the validation of this model on extensive experiments using a synthetic problem and the handwriting digit recognition problem over a portion of the NIST database.,2005
