Title,Authors,Affiliations,Abstract,Keywords,PDF Link,Year,Match Score,Text_clean
TreeESN: a Preliminary Experimental Analysis,"Claudio Gallicchio, Alessio Micheli","1 - Department of Computer Science University of Pisa Largo B. Pontecorvo
2 - 56127 Italy","In this paper we introduce an efficient approach to Recursive Neural Networks (RecNNs) modeling, the Tree Echo State Network (TreeESN), extending the Echo State Network (ESN) model from sequential to tree structured domains processing. For structure-to-element transductions, the state mapping (i.e. the way in which the state values for the whole structure are selected/collected) turns out to have a relevant role and the importance of its choice is pointed out by experimental results.",Machine learning techniques based on random projections,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-101.pdf,2010,100.0,"TreeESN: a Preliminary Experimental Analysis In this paper we introduce an efficient approach to Recursive Neural Networks (RecNNs) modeling, the Tree Echo State Network (TreeESN), extending the Echo State Network (ESN) model from sequential to tree structured domains processing. For structure-to-element transductions, the state mapping (i.e. the way in which the state values for the whole structure are selected/collected) turns out to have a relevant role and the importance of its choice is pointed out by experimental results."
Free-energy-based Reinforcement Learning in a Partially Observable Environment,"Makoto Otsuka, Junichiro Yoshimoto, Kenji Doya","1 - Initial Research Project Okinawa Institute of Science and Technology 12-22, 904-2234 Suzaki, Uruma Okinawa Japan
2 - Graduate School of Information Science Nara Institute of Science and Technology 8916-5, 630-0192 Takayama, Ikoma Nara Japan","Free-energy-based reinforcement learning (FERL) can handle Markov decision processes (MDPs) with high-dimensional state spaces by approximating the state-action value function with the negative equilibrium free energy of a restricted Boltzmann machine (RBM). In this study, we extend the FERL framework to handle partially observable MDPs (POMDPs) by incorporating a recurrent neural network that learns a memory representation sufficient for predicting future observations and rewards. We demonstrate that the proposed method successfully solves POMDPs with high-dimensional observations without any prior knowledge of the environmental hidden states and dynamics. After learning, task structures are implicitly represented in the distributed activation patterns of hidden nodes of the RBM.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-102.pdf,2010,73.07692307692308,"Free-energy-based Reinforcement Learning in a Partially Observable Environment Free-energy-based reinforcement learning (FERL) can handle Markov decision processes (MDPs) with high-dimensional state spaces by approximating the state-action value function with the negative equilibrium free energy of a restricted Boltzmann machine (RBM). In this study, we extend the FERL framework to handle partially observable MDPs (POMDPs) by incorporating a recurrent neural network that learns a memory representation sufficient for predicting future observations and rewards. We demonstrate that the proposed method successfully solves POMDPs with high-dimensional observations without any prior knowledge of the environmental hidden states and dynamics. After learning, task structures are implicitly represented in the distributed activation patterns of hidden nodes of the RBM."
Towards sub-quadratic learning of probability density models in the form of mixtures of trees,"François Schnitzler, Philippe Leray, Louis Wehenkel","1 - Université de Liège -Department of EECS & GIGA-Research Grande Traverse 10 -B-4000 Liège Belgium
2 - -Knowledge and Decision Team
3 - Laboratoire d'Informatique de Nantes Atlantique (LINA) UMR 6241 Ecole Polytechnique de l'Université de Nantes France","We consider randomization schemes of the Chow-Liu algorithm from weak (bagging, of quadratic complexity) to strong ones (full random sampling, of linear complexity), for learning probability density models in the form of mixtures of Markov trees. Our empirical study on high-dimensional synthetic problems shows that, while bagging is the most accurate scheme on average, some of the stronger randomizations remain very competitive in terms of accuracy, specially for small sample sizes.",Mixture and generative models,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-104.pdf,2010,100.0,"Towards sub-quadratic learning of probability density models in the form of mixtures of trees We consider randomization schemes of the Chow-Liu algorithm from weak (bagging, of quadratic complexity) to strong ones (full random sampling, of linear complexity), for learning probability density models in the form of mixtures of Markov trees. Our empirical study on high-dimensional synthetic problems shows that, while bagging is the most accurate scheme on average, some of the stronger randomizations remain very competitive in terms of accuracy, specially for small sample sizes."
Heuristics Miner for Time Intervals,"Andrea Burattin, Alessandro Sperduti",1 - Department of Pure and Applied Mathematics University of Padua Italy,"Process Mining attempts to reconstruct the workflow of a business process from logs of activities. This task is quite important in business scenarios where there is not a well understood and structured definition of the business process performed by workers. Activities logs are thus mined in the attempt to reconstruct the actual business process. In this paper, we propose the generalization of a popular process mining algorithm, named Heuristics Miner, to time intervals. We show that the possibility to use, when available, time interval information for the performed activities allows the algorithm to produce better workflow models.",Computational Intelligence Business Applications,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-105.pdf,2010,100.0,"Heuristics Miner for Time Intervals Process Mining attempts to reconstruct the workflow of a business process from logs of activities. This task is quite important in business scenarios where there is not a well understood and structured definition of the business process performed by workers. Activities logs are thus mined in the attempt to reconstruct the actual business process. In this paper, we propose the generalization of a popular process mining algorithm, named Heuristics Miner, to time intervals. We show that the possibility to use, when available, time interval information for the performed activities allows the algorithm to produce better workflow models."
Learning vector quantization for heterogeneous structured data,"Dietlind Zühlke, Frank-Michael Schleif, Tina Geweniger, Sven Haase, Thomas Villmann","1 - -RWTH Aachen -Information Systems -Life Science Informatics Ahornstr. 55 D-52056 Aachen Germany
2 - University of Bielefeld -Working Group Computational Intelligence Universitätsstraße 25 D-33615 Bielefeld Germany
3 - University of Leipzig -Working Group Computational Intelligence Semmelweisstrasse 10 D-04103 Leipzig Germany
4 - University of Applied Sciences Mittweida -Computational Intelligence Technikumplatz 17 D-09648 Mittweida Germany",In this paper we introduce an approach to integrate heterogeneous structured data into a learning vector quantization. The total distance between two heterogeneous structured samples is defined as a weighted sum of the distances in the single structural components. The weights are adapted in every iteration of learning using gradient descend on the cost function inspired by Generalized Learning Vector Quantization. The new method was tested on a real world data set for pollen recognition using image analysis.,Sparse representation of data,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-106.pdf,2010,100.0,Learning vector quantization for heterogeneous structured data In this paper we introduce an approach to integrate heterogeneous structured data into a learning vector quantization. The total distance between two heterogeneous structured samples is defined as a weighted sum of the distances in the single structural components. The weights are adapted in every iteration of learning using gradient descend on the cost function inspired by Generalized Learning Vector Quantization. The new method was tested on a real world data set for pollen recognition using image analysis.
Curvilinear Components Analysis and Bregman Divergences,"Jigang Sun, Malcolm Crowe, Colin Fyfe",1 - Applied Computational Intelligence Research Unit The University of the West of Scotland,"Curvilinear Component Analysis (CCA) is an interesting flavour of multidimensional scaling. In this paper one version of CCA is proved to be related to the mapping found by a specific Bregman divergence and its stress function is redefined based on this insight, and its parameter (the neighbourhood radius) is explained.","Information Visualization, Nonlinear Dimensionality Reduction, Manifold and Topological Learning",https://www.esann.org/sites/default/files/proceedings/legacy/es2010-107.pdf,2010,55.04587155963303,"Curvilinear Components Analysis and Bregman Divergences Curvilinear Component Analysis (CCA) is an interesting flavour of multidimensional scaling. In this paper one version of CCA is proved to be related to the mapping found by a specific Bregman divergence and its stress function is redefined based on this insight, and its parameter (the neighbourhood radius) is explained."
Multiple Local Models for System Identification Using Vector Quantization Algorithms,"Gustavo Luís, Guilherme Souza, Barreto","1 - Department of Teleinformatics Engineering Av. Mister Hull S/N -Campus of Pici Federal University of Ceará 60455-760 Fortaleza, Ceará CEP Brazil","We introduce a novel method to build multiple local regression models based on the prototype vectors of the SOM network and other well-known vector quantization (VQ) algorithms. The resulting models are evaluated in the task of identifying the inverse dynamics of a heat exchanger data set. Additionally, we evaluate through statistical hypothesis testing the influence of the VQ algorithm on the performance of the local model. Simulation results demonstrate that the proposed method consistently outperforms previous MLP-and SOM-based approaches for system identification.",Unsupervised learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-113.pdf,2010,100.0,"Multiple Local Models for System Identification Using Vector Quantization Algorithms We introduce a novel method to build multiple local regression models based on the prototype vectors of the SOM network and other well-known vector quantization (VQ) algorithms. The resulting models are evaluated in the task of identifying the inverse dynamics of a heat exchanger data set. Additionally, we evaluate through statistical hypothesis testing the influence of the VQ algorithm on the performance of the local model. Simulation results demonstrate that the proposed method consistently outperforms previous MLP-and SOM-based approaches for system identification."
A Novel Interactive Biometric Passport Photograph Alignment System,"G Mcconnon, F Deravi, S Hoque, G Howells, K Sirlantzis","1 - School of Engineering and Digital Arts Jennison Building University of Kent UoK CT2 7NT Canterbury, Kent United Kingdom",A novel framework for interactively acquiring images is developed in which uses real-time visual and audio cues to assist in guiding the user into correct alignment for compliance with European biometric passport regulations. Users pose in front of a camera using visual feedback from a monitor to approximately position themselves prior to an iris detection scheme used to calculate their roll (zaxis) alignment. Audio instructions are then provided to refine the posture. Blink detection is also used to ascertain the user's readiness to having their passport image taken. * This work is part of the NOmad Biometric Authentication (NOBA) project funded by ERDF under the Interreg IVA program. Reference No. 4051.,Learning II,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-114.pdf,2010,89.39393939393939,A Novel Interactive Biometric Passport Photograph Alignment System A novel framework for interactively acquiring images is developed in which uses real-time visual and audio cues to assist in guiding the user into correct alignment for compliance with European biometric passport regulations. Users pose in front of a camera using visual feedback from a monitor to approximately position themselves prior to an iris detection scheme used to calculate their roll (zaxis) alignment. Audio instructions are then provided to refine the posture. Blink detection is also used to ascertain the user's readiness to having their passport image taken. * This work is part of the NOmad Biometric Authentication (NOBA) project funded by ERDF under the Interreg IVA program. Reference No. 4051.
Least 1-Norm SVMs: a New SVM Variant between Standard and LS-SVMs,"Jorge López, José Dorronsoro","1 - Departamento de Ingeniería Informática Universidad Autónoma de Madrid
2 - Instituto de Ingeniería del Conocimiento C/ Francisco Tomás y Valiente 11 28049 Madrid Spain","Least Squares Support Vector Machines (LS-SVMs) were proposed by replacing the inequality constraints inherent to L1-SVMs with equality constraints. So far this idea has only been suggested for a least squares (L2) loss. We describe how this can also be done for the sumof-slacks (L1) loss, yielding a new classifier (Least 1-Norm SVMs) which gives similar models in terms of complexity and accuracy and that may also be more robust than LS-SVMs with respect to outliers.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-115.pdf,2010,69.23076923076923,"Least 1-Norm SVMs: a New SVM Variant between Standard and LS-SVMs Least Squares Support Vector Machines (LS-SVMs) were proposed by replacing the inequality constraints inherent to L1-SVMs with equality constraints. So far this idea has only been suggested for a least squares (L2) loss. We describe how this can also be done for the sumof-slacks (L1) loss, yielding a new classifier (Least 1-Norm SVMs) which gives similar models in terms of complexity and accuracy and that may also be more robust than LS-SVMs with respect to outliers."
The Markov Decision Process Extraction Network,"Siegmund Duell, Alexander Hans, Steffen Udluft","1 - Siemens AG, Corporate Research and Technologies Learning Systems, Otto-Hahn-Ring 6 D-81739 Munich Germany
2 - Berlin University of Technology Machine Learning Franklinstr. 28-29 D-10587 Berlin Germany
4 - Neuroinformatics and Cognitive Robotics Lab Ilmenau University of Technology P.O.Box 100565 D-98684 Ilmenau Germany","This paper presents the Markov decision process extraction network, which is a data-efficient, automatic state estimation approach for discrete-time reinforcement learning (RL) based on recurrent neural networks. The architecture is designed to model the minimal relevant dynamics of an environment, capable of condensing large sets of continuous observables to a compact state representation and excluding irrelevant information. To the best of our knowledge, it is the first approach published to automatically extract minimal relevant aspects of the dynamics from observations to model a Markov decision process, suitable for RL, without requiring special knowledge of the regarded environment. The capabilities of the neural state estimation approach are evaluated using the cart-pole problem and standard table-based policy iteration.",Supervised and recurrent models,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-116.pdf,2010,100.0,"The Markov Decision Process Extraction Network This paper presents the Markov decision process extraction network, which is a data-efficient, automatic state estimation approach for discrete-time reinforcement learning (RL) based on recurrent neural networks. The architecture is designed to model the minimal relevant dynamics of an environment, capable of condensing large sets of continuous observables to a compact state representation and excluding irrelevant information. To the best of our knowledge, it is the first approach published to automatically extract minimal relevant aspects of the dynamics from observations to model a Markov decision process, suitable for RL, without requiring special knowledge of the regarded environment. The capabilities of the neural state estimation approach are evaluated using the cart-pole problem and standard table-based policy iteration."
