Year1,Community1,Year2,Community2,Jaccard,Size1,Size2
2010,0,2011,44,1.0,2,2
2010,34,2011,2,0.2413793103448276,16,20
2010,9,2011,3,0.6666666666666666,3,2
2010,13,2011,9,0.5,3,3
2010,20,2011,18,0.25,13,12
2010,37,2011,13,0.5,3,3
2010,38,2011,32,0.25,3,2
2010,50,2011,34,0.75,3,4
2011,3,2012,37,0.5,2,4
2011,9,2012,31,1.0,3,3
2011,13,2012,14,0.3333333333333333,3,5
2011,25,2012,9,0.5,2,4
2011,26,2012,42,0.3333333333333333,5,3
2011,39,2012,60,0.2857142857142857,3,6
2011,43,2012,49,0.4,7,14
2011,45,2012,53,1.0,3,3
2011,34,2012,66,0.8,4,5
2011,49,2012,34,0.8,4,5
2011,52,2012,23,0.2222222222222222,5,6
2012,44,2013,60,0.36363636363636365,9,6
2012,49,2013,23,0.3,14,12
2012,21,2013,49,0.3,9,4
2012,24,2013,19,0.25,3,2
2012,29,2013,35,0.23529411764705882,10,11
2012,31,2013,53,0.75,3,4
2012,37,2013,13,0.5,4,2
2012,40,2013,29,1.0,2,2
2012,41,2013,10,0.3333333333333333,2,2
2012,42,2013,12,0.375,3,8
2012,45,2013,18,0.25,2,3
2012,46,2013,32,0.2857142857142857,9,9
2012,58,2013,36,0.3333333333333333,2,2
2012,65,2013,6,0.75,3,4
2012,66,2013,8,0.26666666666666666,5,14
2013,0,2014,3,0.42857142857142855,6,4
2013,6,2014,46,0.75,4,3
2013,8,2014,13,0.2857142857142857,14,4
2013,10,2014,23,1.0,2,2
2013,19,2014,44,0.6666666666666666,2,3
2013,23,2014,18,0.4166666666666667,12,5
2013,25,2014,4,0.2857142857142857,7,11
2013,34,2014,69,0.5,3,3
2013,36,2014,36,0.25,2,3
2013,60,2014,6,0.2727272727272727,6,8
2013,53,2014,5,0.5,4,2
2014,0,2015,2,0.25,2,3
2014,26,2015,59,0.21428571428571427,9,8
2014,4,2015,37,0.23076923076923078,11,5
2014,7,2015,44,0.3076923076923077,12,5
2014,13,2015,31,0.375,4,7
2014,19,2015,7,0.25,2,3
2014,20,2015,22,0.25,2,8
2014,76,2015,26,0.6,9,7
2014,27,2015,17,0.3,3,10
2014,32,2015,28,0.2222222222222222,5,6
2014,40,2015,0,0.5,4,2
2014,6,2015,30,0.3,8,5
